Xande de Pilares | Tá Escrito
O Teatro Mágico | Você Me Bagunça
Nação Zumbi | Um sonho
Jammil | Rega
Emicida | Boa Esperança
DJ Marlboro | Ragafunk Conga la Conga
Jord | Magnolia
Israel Novaes | Vó, Tô Estourado
MC Pikachu | Ela Quer Pau
Froid | Pseudosocial
Eduardo Costa | Sou seu fã nº 1
Isadora Pompeo | Como Nunca Antes
Nx Zero | Razões e Emoções
Os Mutantes | Baby (English version)
Luccas Carlos | O Que Quiser Fazer
Céu | Malemolência
Dilsinho | Péssimo Negócio
Davi Sacer | Olha pra mim (feat. verônica sacer)
Dorgival Dantas | Destá
Felipe Ret | Vivendo Avançado
Little Joy | Unattainable
Zé Neto & Cristiano | Largado às Traças
Tropkillaz | Bola Rebola
MC Rahell | Vai Dar PT
Katinguelê | Recado À Minha Amada
Clarice Falcão | De Todos os Loucos do Mundo
Kamau | Contra (Avulso #1)
Paulinho Moska | Admiração
Mahmundi | Azul
Zé Ramalho | Mulher Nova, Bonita E Carinhosa Faz O Homem Gemer Sem Sentir Dor
Jorge Aragão | Eu E Você Sempre
Paulo César Baruk | Ele continua sendo bom
Ana Carolina | É Isso Aí
Nara Leão | Suite dos Pescadores
Daya Luz | Vai Pirar
Cristina Mel | Paulo e Silas
Wanessa | Tonight Forever
Tihuana | Eu Vi Gnomos
Maria Gadú | Encontro
Solange Almeida | Cozido da Patroa
liu | Borders
A Banca 021 | Manual
Kamau | Tudo Uma Questão de... (Avulso #2)
Black Alien | Carta pra Amy
Humberto & Ronaldo | Só vou beber mais hoje
Class A | Uma Dose 2
Dalsin | BLACK TIE
Matheus VK | Movimento Rebolático
Far From Alaska | Dino vs. Dino
Cristina Mel | Sadraque, Mesaque e Abede-Nego
Joyce | Falling in Love Again
Marisa Monte | Ainda Bem
Jorge Aragão | Identidade
David Quinlan | Essência Da Adoração (feat. Mari Rocha)
Marília Mendonça | Todo Mundo Vai Sofrer (Ao Vivo)
Sain | Quem é da Área
Daniela Mercury | Nobre Vagabundo
Galinha Pintadinha | Meu pintinho amarelinho (pintinho amarelinho)
Banda Eva | Eva
Day e Lara | Termina mas Não Trai
Sinara | Sem Ar
Maglore | Clonazepam 2mg
Luan Estilizado | Uma em um Milhão (Ao Vivo)
Leonardo Gonçalves | Sublime
Sorriso Maroto | Me Olha nos Olhos
João Neto & Frederico | Cê Acredita (Ao Vivo)
Cleber & Cauan | Mel nesse trem
Léo Santana | Contatinho (Ao Vivo)
Legião Urbana | Faroeste Caboclo
Seu Jorge | Life on Mars?
Inimigos da HP | Brilho De Cristal (vergonha Na Cara)
As Bahias e a Cozinha Mineira | Uma Canção pra Você (Jaqueta Amarela)
Israel e Rodolffo | Coração de Quatro
Exaltasamba | Telegrama
Chico Buarque | Cálice
Júlia & Rafaela | Paredes Pintadas
